,question,answer_text,distractor
30253,what writer think,We thank other help,We n look upon sailor
30254,which follow true accord passag,you run quickli play regular volleybal,you hit ball much less power play beach volleybal the playground size beach volleybal much larger regular volleybal the rule beach volleybal total differ regular volleybal
30255,the writer wrote passag,suggest reader read book hoop,teach reader play basketbal tell someth walter dean myer
30256,what requir appli program,complet applic form email,take face face interview phone admiss section tell need
30257,accord passag follow benefit later school start time exclud,increas examin score,decreas health center admiss
30258,the research survey student israel order,prove blog effect solv teen emot problem,make us believ blog must teenag find social emot state help
30259,what best titl text,companionship book,life without book unforgett book sort book
30260,the passag mainli,restor sens touch,fool clever monkey make new artifici limb send signal touch
30261,from text know,patient got better oper,patient refus obtain donor heart patient die month later heart implant
30262,accord author,n rich order give,give mean lack money excit give bring money
30263,scientist robert dore came conclus base,research analysi,major caus climat chang
30264,when summer come mani american,hope meet new peopl,expect find close friend want begin last friendship new peopl
30265,the author intend,tell us learn english well experi,tell us english hard learn tell us import learn english show learn english well
30266,kinari webb set clinic follow purpos except,forc hospit area,protect forest teach peopl organ farm
30267,which follow true accord passag,art institut chicago mixtur tradit modern art,there lot interact part waxwork museum you better read stori visit holocaust memori museum the air space museum show attack twin tower terrorist
30268,what aim campaign US anti smoke organ,To make effort end teenag smoke,To end product cigarett
30269,with help speech softwar possibl,say want anoth voic,improv famou person speech
30270,the best titl text would,cure sad,A woman misfortun
30271,which follow true accord passag,As wonder experi skydiv recommend peopl,the success dive good way celebr Ms budg st birthday Ms budg manag contribut money chariti
30272,the world thirsti water,n enough fresh water,lot water goe sewer system earth surfac water sea water wide use rather fresh water
30273,We learn passag,the good earth well receiv american reader,pearl buck attend colleg china pearl buck stay china pearl buck stop write
30274,what aim slow food movement,To encourag peopl slow,To call peopl eat To make peopl enjoy cook
30275,whi author give backpack princip,To make jake avoid feel embarrass,To let know poor jake To ask show concern jake
30276,If type A might,look peac outsid,alway start task n finish
30277,what kind book think interest alic,book pictur convers,book sister read book without pictur convers book white rabbit
30278,the brazilian street mention show,great soccer player may born slum area,peopl poor area born uniqu qualiti children poor area start play footbal age three four famou soccer player live slum area
30279,who fail find job,sandra day O connor,rachel carson
30280,which follow not right,mari two twin sister,mari grandpar also china
30281,the writer alway went librari,want gain knowledg help mani book,teacher ask must get readi exam
30282,accord passag white foam,plant juic mix spittlebug wast air,much harm plant protect plant harm mother spittlebug live
30283,the dialogu babi camel mother quot,introduc topic passag,show hard life camel
30284,athol kliev seem believ,farm anim blame increas greenhous gase,cattl sheep produc carbon dioxid less cattl sheep rais new zealand new zealand anim world
30285,from passag infer,idea get away present routin life appeal mani peopl,dream peopl open hostel name favorit book travel book written young peopl sure becom best seller much easier singl find one Mr miss right travel
30286,the widespread problem appli oneself studi,failur keep set timet work,unwilling work systemat plan work subject one feel like
30287,accord donna fernand gorilla bit zoo keeper,excit see zoo keeper,angri see zoo keeper n want sent back cage
30288,To reach third floor build would probabl health,walk stair,find altern walk
30289,which one follow true accord passag,bragg becam professor univers adelaid,bragg rumford medal copley medal year bragg gain great achiev mani field includ societi bragg lawrenc wrote book xray crystal structur
30290,mr king woke,heard voic mum like child,heard Mr king voic
30291,the reason children perform better watch D movi,D movi make brain activ,D movi excit D movi children enjoy watch D movi children like experi get brain juic flow
30292,In read meet new word someth import sentenc better,stop look,look go read stop read
30293,what might best titl passag,peopl seem seriou,life simpli
30294,vicki use,loss real happi,live happi life big hous enjoy simpl thing life
30295,whi earth differ planet,the water remain,water disappear
30296,how scientist help ferret,they train anim surviv wild,they set ferret free two month old
30297,sophia save money,tri help husband everi possibl way,knew husband would lose job one day
30298,which follow directli take part campaign help child beggar,one foundat shanghai time plastic surgeri hospit,chines academi social scienc china daili the all china women feder xinhua new agenc civil affair public secur depart china daili
30299,the writer read abil improv great deal mainli,develop way read,took cours speed read
30300,what purpos instal video camera polic car,To cut number lawsuit,To pay less money lawsuit
30301,which follow statement true,arthur set good exampl seriou ill,arthur finish video arthur n speak portugues fluentli arthur spend new year eve hospit
30302,from passag know,the garden n know happen patch first,the veget sorri see tree dri the garden angri veget tree the tree n know import sun veget
30303,accord text hairpiec,comfort safe,made children hair made lock love offer children free
30304,the third passag mainli tell us,writer favorit cloth,writer favorit sport writer favorit food writer favorit color
30305,what kind person rob thompson,He kind heart anim,He like help poor peopl
30306,If passag continu,truth scotti castl,spanish built castl
30307,It infer text author famili,much influenc grandma interest,valu wonder poem grandma wrote
30308,what passag mainli,accord expert arctic may free ice soon global warm climat chang,the arctic melt sea ice affect planet greatli the arctic free ice two year global warm chang earth landscap quickli
30309,It import parent awar children learn style,help know exactli problem children,everi child learn style way learn children learn process settl certain step
30310,you understand shakespear word easili,express differ,ordinari peopl understand
30311,the waiter stop boy,man n give money meal ice cream,boy n meal boy father come back soon
30312,what caus law protect children right ineffect,the law gener hard put effect,the law complic peopl n understand the law often ignor govern
30313,which follow statement true,shadow small healthi dog,the brown never pet the brown knew shadow newspap Mr brown n quit agre wife
30314,the follow statement right except,I write encourag word food,feed homeless everi saturday sunday night offer food peopl everi saturday sunday night famili I feed poor sever month
30315,In way guardian eye use kid,It keep see unwant content,It stop spywar enter comput
30316,which best titl stori,the old tree,the man wife
30317,which follow true accord text,most volunt first group graduat colleg,volunt serv teacher work pay accra ghana kennedi establish peac corp took offic america imag foreign countri depend complet volunt
30318,receiv watch wrong colour problem,watch difficult sell,hong kong agent stress need fulfil order exactli watch limit hong kong market peopl buy watch present
30319,which follow would best titl passag,the kiss box,A girl father the box christma tree
30320,nowaday peopl find hard save money follow reason except,peopl money past save date,peopl live standard improv buy want
30321,what know organ farm,It refer farm natur materi instead chemic fertil,It refer farm chemic fertil rather natur fertil It refer grow crop man made fertil pesticid
30322,which follow true,supercomput use food compani,A person comput need year finish work supercomput day japan lead world area supercomput scientist need n use softwar turn small compani one supercomput
30323,lincoln colleg english,take foreign student beginn advanc,accept student begin year
30324,what US scientist univers texa find recent studi,first impress tend last often,It better judg logic instinct
30325,which follow mention passag,they live nurs man,they offer transit hous
30326,from passag learn,spanish student descript countri excit angu,peopl went scotland practis english angu becam member scottish olymp team angu plan trip barcelona see olymp game
30327,what logan team found recent experi,crow abl understand learn caus effect relationship,crow prefer get food reward wider tube crow easili recogn tube food reward insid some crow even make use road traffic help break nut
30328,which follow best titl,spring break expand horizon,read book travel mile
30329,when set goal,begin small goal,concentr final goal talk depart head
30330,the policeman stop boy,give ticket,ask band question
30331,what best titl passag,how friend,A friend need friend inde
30332,what author write passag,To tell peopl cherish everi day find mean life,To show make good use everi day life To explain true mean brother law word To encourag peopl wast time enjoy life
30333,frumtj accept mose request end,mose good heart honesti,mose sweet word devot mose trick lie mose wealth humor
30334,what learn blenheim palac,It one world heritag site,It europ largest greatest palac It largest royal build england It built honor prime minist winston churchil
30335,whi long retir year ago,becaus hope spend time wife,becaus found band talent troy becaus tire work director
30336,thi passag mainli,paper cut,hair cut
30337,what author mean say glastonburi festiv gone strength strength,the festiv achiev grow success,great effort made hold festiv the festiv brought larg amount money there thousand fan attend festiv
30338,accord passag follow wrong,peopl get cheaper good tradit busi,tradit busi provid valuabl servic custom more peopl turn internet need there still mani peopl n like line shop
30339,accord passag boy father,alreadi check garag see whether car still servic,guess correctli son gone watch movi angri wait two hour son knew repair car would take extra two hour
30340,what author recomusend,A regular life weekday weekend,A suitabl account alcohol help sleep A dark room without phoeb sleep A break sleep anytim day
30341,when salesman gave chang,I slower accept salesman give,I purpos n want accept salesman salesman purpos n want pass
30342,what activ particip trip,enjoy sport entertain,travel train guest famili
30343,accord passag anim protect,A darwin rhea,A sea hors
30344,what girl need,uniform brother,pair new shoe pair second hand shoe
30345,who first person rais alarm,A passeng take train across thame,A person walk bridg thame A naturalist interest whale A rescuer worri whale
30346,accord passag cold commonli seen winter,stay togeth indoor make easier virus pass,virus go peopl warm bodi easili winter peopl usual weak extrem cold winter
30347,In writer opinion follow rais child true,parent educ children earli possibl,children respect born It right time educ children teenag children help whenev make mistak
30348,thi articl written give report,result survey colleg student,student think suicid student like go colleg
30349,In text writer mainli tell us,son good teacher,son studi school good popular teacher teacher like play student
30350,usual mr totten ask student,answer homework question oral,recit homework togeth grade homework check answer homework question
30351,what text mainli,oxford school govern plan,polit leader oxford tradit strength oxford oxford way train futur leader
30352,what said mitx accord text,It standard recogn onlin learner achiev,It first offer part edx learn program It anoth free mit harvard onlin learn program It new kind free onlin cours harvard mit
30353,which follow true,merlin made surpris entranc day,noth happen merlin parti No one notic merlin enter room merlin could n sleep well dream lot
30354,the upsid fu mean,good luck come,good fortun fu upsid
30355,By take offer voucher holder choos,book either basic twin doubl room chosen B Bs,lunch even meal without pay extra money use B B offer togeth offer book stay though n B B daili
30356,what ghadi hobeika feel smartphon,they make imposs peopl rest,they use improv work abil
30357,which follow best titl passag,two stranger wed,A wed base love A short live marriag A well marriag coupl
30358,the experi sleep infant prove,babi learn even asleep,babi respond world around babi tighten eyelid respons sound babi commun other asleep
30359,It infer passag,fire safeti lesson aim american children,american children receiv enough educ fire safeti lesson japan better equip fire equip unit state america larg popul lead fire
30360,the robber caught easili,one finger,Mr green know live
30361,By buy larg amount food develop countri wfp aim,encourag farmer produc food,help farmer increas incom introduc new way farm farmer
30362,what happen sam one even may,hi car broke,He could n reach ga station He miss bu
30363,which follow true,A student learn studi,school educ import person A student learn everyth school A good teacher teach everyth
30364,We learn first rule,pictur must idea,need write idea pictur
30365,the word line para refer,new model artifici heart,maker artifici heart america health care program
30366,cyndi lauper,got high school diploma alreadi thirti five,studi high school thirti five n clever graduat high school late
30367,accord passag small talk,someth talk start convers,kind convers short word greet use peopl meet let peopl disagre someth
30368,some peopl seem interest clone pet,think clone pet would one,n think scientist one day abl clone pet n want give love clone pet
30369,By visit transport london websit peopl,find nearest subway station,locat nearest bu station use onlin map avoid get lost
30370,xiao xiao mention exampl show,parent today expect high children,parent influenc children decreas one studi hard attend beij univers student today children spend much time surf web
30371,from passag know,school student usual stay away school one half month summer,factori holiday long school holiday factori holiday longer school holiday new school year begin begin august
30372,which follow not true,disrupt natur bodi rhythm lead obes,our alert influenc natur bodi rhythm do whatev bodi feel like difficult modem societi obey bodi clock good health
30373,If interest protect environ take part,youth exchang,youth exchang youth exchang youth exchang
30374,how danger sit much affect human bodi,It caus gene fail balanc glucos fat bodi,It increas glucos fat bodi It make person unabl exercis long enough day
30375,If want build china modern countri We must,,tri use kind machin invent mani machin
30376,how student usual studi everyday accord stori,have class school take note homework,have class school use onlin tool home learn digit way class classroom have class take note homework school
30377,whi man woman run becaus,neither wife husband want wash dish,woman husband angri
30378,which not true accord passag,If place live put notic newspap certainli get room live,the habit read newspap found among peopl newspap suppli us news world also give us lot use inform hundr year ago news complet true told spoken word
30379,what make world better place home school,Do forget reus daili necess,use shop bag made plastic Do throw away paper cup use dispos plate bowl chopstick
30380,which follow writer probabl agre,too much toler endang foundat democrat system,By toler peopl transform someth neg opposit peopl toler other like consid equal be toler regard right instead favour
30381,scientist explan rain blood,fli bird torn piec strong wind,tornado pick bird blood strong wind day
30382,what real world memori test like,It involv tour process recal detail,It need young volunt complet task It make tour univers campu
30383,which follow true,jack last one give gift grandpa,jack first one give gift grandpa jack gave gift grandpa togeth peopl jack gave gift grandpa togeth parent
30384,which follow person may lose weight accord new studi,shirley wrote much love children,mari wrote adventur
30385,what might suitabl titl passag,short peopl isol island,short peopl fairi tale
30386,In spite bruce warn author still cut tree,n sure bruce right anxiou go home,n hear friend warn blow wind know electr ca n travel wood
30387,mani young ladybird lie,want new guid,n want get spot back
30388,accord passag follow true,their father away war leav home mother,their father die fight other the four children passag work earn money
30389,which follow remain uniqu featur english countrysid,cottag thatch roof,narrow street line pink white hous roll hill pretti farm build church cottag around Ks u
30390,which follow true accord passag,luke came love wild thing kid,luke act first time age luke start lemur center duke univers
30391,which highli link age accord passag,long term shortag care love,long term physic disabl long term mental disabl long term chronic ill
30392,which follow bill gate think correct,some live worth save other,We act sometim peopl suffer n exist they ca n solv problem alon
30393,the soldier n say anyth,offic follow gener,gener n agre
30394,accord passag presid jackson,n good read write spell,n like read import paper n like read import paper
30395,which follow not mention passag,the teacher feel attitud import student,some tradit teacher like mani teacher believ open educ teacher may problem open classroom
30396,which follow not talk passag,china new product excel,zhao tao middl school student the expo garden crowd
30397,We infer text,It unclear avoid jet lag side effect,the experi carri jet plane side effect jet lag remain one whole life onli human hamster biolog clock
30398,It import us student,short term goal,long term goal intermedi goal
30399,which true accord passag,allen happi play game,ivi n like studi henri usual play comput game
30400,teacher hate doodler thought,doodler pay attent class,doodler task
30401,after interview infer,maxwel find anoth job interview,maxwel celebr big day the manag apolog maxwel maxwel final get post
30402,accord text follow true,cat accept brought europ roman,cat start move around world china cat get food night save energi like wild cat cat littl common wild cat
30403,which follow statement true accord passag,A major grandpar survey said five grandchildren,one third grandpar age older assist bring grandchildren the grandpar survey offer net grandchildren mani grandpar poll said play import role grandchildren live
30404,the writer want tell us,must care swim,swim good sport go swim summer go swim river
30405,which would help morrison launch wesbsit futur,launch onlin oper acquisit interest retail,build conveni store market unit state
30406,what talk pictur mean accord articl,the pictur play record person pictur talk,you talk person pictur whenev want the pictur tell wonder stori eas pain the pictur tell mind look
30407,the chimney smoke mean,the farmer wife angri,there someth wrong farmer chimney
30408,which follow true accord four piec news,tong liqe chongq wrongli jail nearli year local lawyer prove innoc,girl chines mainland intend marri man whoever hong kong resid the columnist sheng dalin think teacher kneel kid mother
30409,the best titl text could,A year without made china,china free live A troubl one whi I choos made china made china good bad
30410,which follow true citi light tour,On tour see helix bridg look like dna structur,It great tour explor histori cultur lifestyl singapor you glimps uniqu mixtur east west tour It begin marina bay sand goe toward benjamin shear bridg
30411,which follow statement not true accord passag,the girl suffer brain injuri accid,the girl love teddi bear much the plane sent signal help crash
30412,the woman steal perfum,guess detect seen,knew ball
30413,what know great pacif ocean garbag patch,It made variou kind plastic product,It solid mass float wast materi It lie l kilomet east california
30414,when athlet game,they award twice the first immedi competit second last day game,they award last day game immedi competit
30415,what learn text,It iS much crowd mal london,anoth island use dump ground No honeymoon will visit maldiv wast island offload directli sea
30416,the best titl passag would,I one,Do n believ other
30417,the neg effect plant tree desert,make groundwat becom less,stop crop grow well
30418,how grandma feel daniel announc intent give one kidney,she n happi offer,she felt reliev appropri kidney avail she enthusiast kidney someon love
30419,It infer passag,adult might less affect high chemic level fish,children like eat fish smell fishi want environment friendli eat less fish pcb allow use food industri
30420,It infer passag,internet allow peopl commun quickli,peopl pay download softwar peopl usual pay bill internet day lot peopl still like paper book
30421,accord passag green fashion,wear cloth good earth,wear colour green time make cloth green tree put green make face
30422,what best titl passag,hunter pay kill fenc anim,anim are easi kill anim hunt should Be ban
30423,It infer passag,greater percentag women advanc profession US past,profession men refus go busi trip women husband encourag learn cook wive go busi trip
30424,accord dana cum ampsurf,chang attitud disabl toward life,help disabl learn get use life
30425,ponc kill,second stay florida,way florida set coloni
30426,whi passag tell stori first,In order introduc topic,becaus littl girl thought father would buy car
30427,whi author say public speak easi,becaus consid public speak say someth plain speech,becaus consid someon speak public n bite finger nail becaus consid peopl public speak time becaus consid peopl afraid public speak
30428,the accid happen melissa,drive work professor,way christma parti
30429,nobodi classroom,sunday,mari get classroom earli
30430,for mani year art lover around world wonder,mona lisa smile,mona lisa live old mona lisa mona lisa love
30431,which best titl passag,paper cut,the way paper cut the reason paper cut the purpos paper cut
30432,when sibl rivalri happen prove fact,brother sister n get along well,brother sister get away home competit made brother sister one stop brother sister argu day long
30433,In way channel island differ island holiday place,the weather better,the coast easili reach main center there island
30434,which follow statement show bench effect,the workshop kid set good exampl,the ptso decid provid buddi bench some shi student found friend playground
30435,which follow best titl,are human definit caus global warm,how stop global warm where Is global warm lead Us what relat global warm greenhous gase
30436,the four peopl topic focus,whether restaur ban tip,diner feel american restaur restaur offer good servic
30437,the writer wrote passag,warn young peopl hardship success writer experi,advis young peopl give idea becom profession writer show young peopl unrealist writer dream wealth fame encourag young peopl gain write career
30438,after see beauti ladi woman conclud,beauti ladi led rich happi life,beauti ladi like show husband must make money n marri husband
30439,which follow best serv titl passag,should n We know who invent windshield wiper,how help student sell their invent produc how design built devic clean window shouldn We develop invent cours univers
30440,the purpos write,call peopl donat blood,introduc nation blood servic
30441,the author purpos write text,explain histori characterist folk art america,speak highli folk art compar folk art fine art explain develop chang american art
30442,the writer believ want good foreign languag probabl,get tire learn,becom talent languag learner reach learn goal
30443,which follow inform not given passag,free gift souvenir,admiss charg group visitor condit take hors drawn carriag
30444,which follow thing surpris author,that old man come faraway place although weak,that old man like grandpa
30445,from passag know,food stuck teeth may hurt teeth,doctor agre floss good heart doctor judgment floss base medic research everi doctor think floss help keep teeth healthi
30446,whi mr reed bitter toward jane,becaus Mr reed love jane children,becaus jane inherit Mr reed fortun becaus jane n get along well cousin becaus jane mother beauti mr reed
30447,what author purpos write text,To warn care invis troubl talk privaci colleagu,To advis offic worker awar imag project
30448,what differ behavior male femal rat,femal rat show concern trap partner,male rat care trap partner femal femal rat behav less pro social male rat whole male rat n go away trap partner even day
30449,whi author passag complain,becaus peopl interest talk dream,becaus peopl overexcit dream becaus peopl dream time becaus peopl consid dream much import
30450,which follow true accord passag,fish rememb,fish behav aggress fight fish n belong list smart anim onli african cichlid good memori
30451,what Ms milano origin attitud toward start garden school,she doubt,she thought wonder idea
30452,the research led sandi indic peopl multitask,poorest result variou thing time,prefer handl differ thing get bore focus mani thing time
30453,accord passag today student advis,read fast understand key point,understand word read read fast learn mani thing time read lowli loudli
30454,which follow right,alan good memori,alan know lot american histori alan got good result geographi
30455,accord passag know,the epidem model play import role make busi grow spread idea,the epidem model came earli the epidem model book written malcolm gladwel
30456,the mother decid go church,donat money poor peopl,show peopl poor
30457,what suggest author give passag,the best choic buyer buy product plain packag,It good buy product sold glass dish the qualiti contain noth qualiti product A buyer buy need rather well design packag
30458,accord passag reason,some women feel unhappi hurrican given name,A lot women complain weather bureau all hurrican caus women
30459,what author worri,carbon pollut sea,harm sea grass
30460,It known report US depart educ,gun control US school,american children n right go school expel student best way control gun
30461,when queen victoria came power,minor peopl live town work offic,peopl enjoy conveni transport peopl suppli pipe water ga
30462,accord Lu fang mooc becom popular,high qualiti educ resourc demand,student attend cours famou univers colleg student access famou teacher mooc brought revolut educ
30463,In order attract follow except,behav like tom cruis,ask question
30464,what mirror test tell us anim,whether self awar,whether enjoy play mirror
30465,dog world recommend,wonder articl,low price
30466,for person growth writer favor,open mind new experi,littl interest new thing
30467,the best titl passag could,A doll santa,A help santa clau
30468,We infer passag,children spend pocket money,boy earn money home girl girl earn money home boy rich parent give children pocket money
30469,what weak G compar G,it network speed much slower,it voic clear G
30470,what common role mom dad cultur,mom take care children dad bring home food make famili rule,mom bring home food fulltim job dad take care children home both parent take care children home both parent go work grandpar take care children home
30471,the passag aim,report use electron textbook school,show use electron textbook encourag school use electron textbook tell reader electron textbook replac regular textbook
30472,what similar share stress Go ahead cri,they help let feel,they need physic movement they help live orderli life
30473,what know knott berri farm passag,It far disneyland,It northern california It open year round
30474,which organ suitabl teacher volunt wale,commun servic volunt volunt wale,nation council voluntari organ student hub cambridg council voluntari servic timebank volunt wale volunt develop scotland
30475,accord passag psychologist tri interpret peopl dream,ask peopl dream,record higher level brain activ compar peopl memori dream electron visual link certain neuron specif object concept
30476,johnson word suggest,feel behavior littl harm,oppos kill shark believ shark endang
30477,amelia flight import,amelia first woman fli across atlant alon,amelia woman pilot amelia abl overcom difficulti flight
30478,what burt hear doctor advic,they avoid sugar complet,they use half ton sugar week
30479,which follow not true,the audienc knew someth wrong,the school drama director ask writer play role the writer said sorri drama club
30480,the peopl leav region new mexico,cut tree,mani tree bad weather stop growth tree
30481,Jo shaw think,rhino protect need intern cooper,confer protect rhino held everi year
30482,where could peopl get D film cinema,In ticket hall,under london eye
30483,accord passag titl suggest,time batteri gone forev,batteri greatli improv petrol use instead batteri pollut problem caus batteri must solv
30484,the rise global temperatur,like caus mani speci becom extinct,seriou extra heat absorb ocean made earth ecosystem sensit chang
30485,In anna craig eye beauti,good qualiti insid someon,beauti thing found natur
30486,the purpos educ,prepar children mainli futur work,choos system educ let everyon receiv educ fit
30487,which follow true accord passag,meyer never thought success today,A talent agenc overse product movi ron meyer far success raul kohner
30488,two dog creat artist,snoopi lassi,rin tin tin snoopi blair lassi rin tin tin lassi
30489,from articl see foreign appli green card mainli,accept trust chines,make entri exit easier
30490,from passag know,european offici paid much attent ccd,ccd destroy honey bee coloni europ honey bee found world near futur
30491,how air london becom much cleaner,A law made keep peopl burn coal hous,mani factori citi close peopl paid attent clean citi
30492,most tale grimm book made,peopl knew write,old peopl
30493,which follow statement not true,neither lincoln speech everett popular,lincoln speech deep mean though simpl style lincoln speech prove great success later everett speech thought perfect time
30494,what passag mainli talk,face fear brave produc courag,fear fact bad thing
30495,what said two dead elderli women,they live natur life,they die exhaust long plane ride
30496,In repeat test rat,help trap partner share chocol,freed trap partner ate chocol alon ate chocol first freed trap partner took chocol serv trap partner
30497,whi writer say hard anyth storm,the light candl weak,It cold room the light kept go
30498,the program leader think program worth tri not,problem,ca n solv problem everyon
30499,the novel love mainli describ,memori five women bill cosey,best known vacat spot black life outstand black famili slaveri
30500,the san diego food bank meant,help hungri children famili,distribut food case emerg
30501,the main point articl,inform us fear phobia,show us kind role fear play live discuss good tri get rid fear discuss scientif studi relat fear
30502,the writer wrote passag tell us,favourit shop,favourit model make model fun make model
30503,which follow statement tree accord passag,tito first american tourist space,tito contribut wealth space trip tito visit russian space station trip space travel becom routin tito sinc
30504,mahru made kist follow thing except,danc human like robot,stop automat walk
30505,what main idea whole passag,ebola harm economi west africa serious without quick action,peopl west africa great fear spread ebola viru
30506,the spider n believ littl bug,noth happen,thought littl bug enemi littl bug told lie
30507,the best titl passag,valu We need for our societi,love honesti
30508,those oppos vivo mile scheme think,mislead children effort reward,easi get vivo year
30509,what best titl passag,A man beaten due protect abus dog,A dog owner put prison due beat dog stop beat dog dog friend human
30510,what main reason food scandal china,too mani peopl pay attent make money,some product obey law the process food clean healthi nutriti the chemic suppos harmless use
30511,who passag like written,all kind peopl,veri angri peopl
30512,how understand last sentenc the doll given angel joy made happiest child world,joyc seem realiz dream childhood receiv parent gift,ami doll gift made joyc feel happi smile like child though joyc old still wish doll often like child joyc thought doll suitabl children
30513,We infer passag,dori less written mani differ subject,journalist interest elect dori less nobel prize dori less regard the golden note pioneer work femin mani writer courag stick equal male femal experi
30514,from tbe two letter learn professor raj persaud,feel doubt valu tip,believ tip improv qualiti servic want ask hoffman tip US think tip bit one get good servic
30515,whi author write text,To introduc chines folk cultur,To stress import oxen farm To describ celebr year Ox To explain develop agricultur oxen
30516,which follow not mention passag,anger tend us harm good,fear help us care surround
30517,donald decid cheat math exam,good math,math teacher explain question care
30518,how mani tiger monkey stori,one tiger one monkey,two tiger two monkey two tiger one monkey one tiger two monkey
30519,the research conduct eric peterson mainli focus,adolesc sleep requir,later public school start time chang class schedul chang school system
30520,concuss among young player,seem extrem worri,caus kid lose interest sport mostli caus wear helmet
30521,which follow not reason martin father agre buy car,martin abl learn drive quickli,martin would go colleg far home martin prefer live home live colleg martin n want take public transport
30522,If posit bodi imag,like accept,concentr bodi imag develop strong self esteem
30523,accord passag modifi tradit song,help peopl improv memori,help children sing better
30524,whi author think mother death unnecessari,becaus high blood pressur could prevent,becaus blood clot n deadli diseas time becaus mother would n die job becaus mother treat local hospit
30525,the passag mainli concern,wildlif kind return larg citi live,falcon new york baltimor philadelphia norfolk
30526,mum nevenka loknar surpris bear,clever get obstacl,knew use wire cutter jump across wire fenc three time
30527,what purpos passag,To introduc new bank servic,To set club To organ key card
30528,the passag written,introduc new product,comepar differ way use solar energi
30529,which follow would oppenheim probabl agre,the weather get better stop global warm,It late stop global warm
30530,whi first ladi import US,becaus role model women US,becaus import women US
30531,what passag mainli tell us,It hard buy ticket railway station spring festiv,peopl go home much easili spring festiv presid Hu jintao care railway build problem the ministri railway felt sorri problem
30532,which follow not author advic,join one noblest yoga club,Do n easili follow fashion yoga find real teacher
30533,what mitin help,He taught file share network,He help homework He help math problem
30534,what help make high school basketbal leagu wildli popular public,broadcast game televis,the co oper nike well known sportswear manufactur taipei kaohsiung mayor come cheer team last year final
30535,the anim first draw,look happi,big eye big ear
30536,what know cyber game,they suitabl teenag,they expect help parent better direct children summer vacat they includ five rpg forti chess game one educ game
30537,the shop assist insist writer,compar camera chosen other,tri camera see anyth wrong
30538,whi becom apart go older,the writer husband move one place anoth,becaus writer got marri rose sad
30539,accord author rat,fairli describ chines zodiac,kept pet peopl
30540,If govern print slogan coupon restor consum confid might use promot idea,spend save later,spend money like tomorrow come spend money like go style let
30541,which holland largest artwork,the hotel sahrai,new centuri global centr
30542,crossroad intern,organ collect good need,place store good donat
30543,which follow statement not true,peopl never go activ alon,peopl usual take part fewer activ winter peopl wear comfort shoe travel
30544,accord passag writer think,tourist respect local custom cultur,tourism promis industri dream vacat spent abroad problem caus tourism easi settl
30545,In past mani peopl thought,women could work well,women must get chanc men educ job women receiv much educ women get good job
30546,We learn passag,the volunt ask listen three piec music,sad music caus sad listen granado allegro de concierto G major caus posit emot
30547,the initi aim start children develop khazana,safeguard homeless children hard earn money,provid job homeless children help homeless famili emerg sponsor homeless children go school
30548,whi care land build site,To make sure land contain radioact materi,To determin whether land firm enough build site To make certain land releas formaldehyd gase To check whether contain combust materi
30549,the writer critic paul,took away toy bailey,put lego bailey mouth made troubl wait room
30550,which follow statement not true accord passag,the govern estim damag earthquak earli wednesday,the tsunami wave pisagua six feet high sever tsunami warn call earli wednesday the earthquak happen even depth mile
30551,what katherin problem week writer,she n like write,she could n use sign languag
30552,the writer wrote passag order,arous peopl concern cari take measur deal,tell result global burden diseas studi warn peopl africa adjust diet prevent cari
30553,accord passag mother daughter,better spend time alon,n spend much time hotel spend much time money shop
30554,accord passag n like read,read funni stori,find new interest
30555,whi patricia feel sad,her parent unlik attend concert,her parent gone remot countri town
30556,peter often late school,ca n get time morn,goe school slowli
30557,which follow wrong,the way celebr singl day dinner singl friend,singl day first celebr nanj univers mani singl choos singl day say goodby singl live It colleg graduat student carri univers tradit societi
30558,accord passag super bowl,well receiv american footbal game,expens american sport watch TV seri
30559,which follow may beat titl passag,big ben silenc,big ben histori solut big ben
30560,which follow true,It suddenli rain writer way home shop,the writer thought rain would last long
30561,what caus lack statist signific reduct overweight obes group,they ate less food purpos,they told eat lot In studi appetit eat
30562,whi offic often colour cool colour accord passag,becaus peopl work relax calm,becaus colour make peopl feel time pass quickli becaus colour make peopl excit becaus everybodi like colour white
30563,what hottest event eye basketbal fan taiwan,hbl,the basketbal associ
30564,from passag find lindsay lohan,live unhealthi lifestyl,set good exampl teenag
30565,what citizen world ask america,what freedom,If america plan invad countri
30566,whi juliet sad,becaus much trash park,becaus could n find mum becaus friend park
30567,take that arrang,meet pyne person,invit pyne join band
30568,It impli passag,past safeti law introduc govern,govern compani differ opinion safeti product govern paid littl attent safeti product govern offici often listen scientist
30569,accord elain tyrrel privat tutor,unnecessari case may harm studi student,effect languag learn exam unnecessari secondari school help studi
30570,which follow best titl passag,want eat healthier bring healthi friend dinner,want eat cheaper bring rich friend dinner want eat less bring thinner friend dinner want eat more bring fat friend dinner
30571,scientist care much warm arctic region,studi region make predict futur impact global warm,climat arctic n chang much global warm effect seriou arctic region major decreas arctic warm recent year
30572,the reason onlin newspap readership increas,younger reader prefer visit newspap websit,print newspap expens buy onlin newspap cover much inform
30573,splurg food allow eaten,eat right stay activ,never eat french fri
30574,who think tania audienc,the prime minist cape york leader,aborigin peopl young boy girl kowanyama
30575,We learn articl cymber larkin,clear idea futur career along,shot music video first singl turn
30576,what happen year old boy,He play fire burn,He watch action film youtiib
30577,the product manag,respons deal advertis,also call produc usual train new worker person
